"URL","impact","Title","Visitors","Views","Engaged_minutes","New_vis.","Returning_vis.","Avg._views_new_vis.","Avg._views_ret._vis.","Avg._minutes_new_vis.","Avg._minutes_ret._vis.","Desktop_views","Mobile_views","Tablet_views","Search_refs","Internal_refs","Other_refs","Direct_refs","Fb_refs","Tw_refs","Fb_interactions","Tw_interactions","readability","grade_level","smog_index","total_words","total_sentences","neg1","neg2","neg3","neg4","neg5","pos1","pos2","pos3","pos4","pos5","Other_Social_ref","Li_ref","Pi_ref","Other_int","Li_int","Pi_int","Impact","Engaged_hours","Returning_vis_10000","Search_refs_10000","Internal_refs_10000","Other_refs_10000","Direct_refs_10000","Fb_refs_10000","Tw_refs_10000","Fb_interactions_10000","total_words_10"
"https://www.huffingtonpost.com/entry/brett-talley-trump-withdraw-judicial-nominee_us_5a317b65e4b07ff75affd3c4",0,"Controversial Judicial Nominee Brett Talley Withdraws Nomination",73284,100025,39904,7743,27543,1.088,1.132,0.987,1.161,42362,49833,7830,3822,18341,2189,23592,43481,1260,14817,44,53.92,10,12.4,623,36,0.3333333,0.2380952,0.0952381,0,0,0.1428571,0.1904762,0,0,0,0,"0","0",16,"1","1","N",665.066666666667,2.7543,0.3822,1.8341,0.2189,2.3592,4.3481,0.126,1.4817,62.3
"http://www.huffingtonpost.com/entry/antonin-scalia-flag-burning_us_59c9159be4b01cc57ff3eabf",1,"Trump's Favorite Supreme Court Justice Said 'Tyrants' Try To Suppress Flag Protests",91388,100014,46720,9242,34173,1.091,1.133,0.995,1.097,25373,64778,9863,4511,25135,5771,6794,52899,677,55480,87,68.6,8.5,11.2,312,16,0,0.4,0.06666667,0,0.1333333,0.1333333,0.2,0.06666667,0,0,7,"0","1",83,"1","1","Y",778.666666666667,3.4173,0.4511,2.5135,0.5771,0.6794,5.2899,0.0677,5.548,31.2
"https://www.huffingtonpost.com/entry/republicans-tax-reform-election-results_us_5a03997fe4b03deac08b14fa",1,"Republicans Full Speed Ahead On Tax Reform, Election Consequences Be Damned",87536,99919,119328,12550,67485,1.059,1.161,1.279,1.526,47846,41124,10949,4857,70978,1692,3519,3192,1952,2714,261,56.89,11,12.4,1361,60,0.2903226,0.2258065,0.08064516,0,0,0.1451613,0.2258065,0.03225806,0,0,19,"0","1",8,"1","1","Y",1988.8,6.7485,0.4857,7.0978,0.1692,0.3519,0.3192,0.1952,0.2714,136.1
"http://www.huffingtonpost.com/entry/trump-silence-minnesota-mosque-attack_us_59887a97e4b041356ec13af5",1,"Trump's Silence On Minnesota Mosque Attack Speaks Volumes",92820,99898,105398,17376,62491,1.051,1.082,1.269,1.357,34854,52963,12081,3614,52703,8698,12734,11385,2366,21919,390,53.21,10.3,12.9,665,37,0.2682927,0.2682927,0.1219512,0,0,0.2439024,0.09756098,0,0,0,49,"0","1",68,"1","1","Y",1756.63333333333,6.2491,0.3614,5.2703,0.8698,1.2734,1.1385,0.2366,2.1919,66.5
"http://www.huffingtonpost.com/entry/rep-joe-kennedy-trevor-noah-daily-show_us_5982b3cbe4b00f0084adfd5d",0,"Joe Kennedy Slams Donald Trump For Pitting Americans Against Each Other",86627,99866,55821,18194,34997,1.13,1.173,0.971,1.058,30062,55488,14316,1549,21120,837,7086,62280,1350,68209,173,58.72,10.3,12.5,397,19,0.1666667,0.1666667,0,0,0,0,0.5833333,0,0.08333333,0,23,"0","1",102,"1","1","N",930.35,3.4997,0.1549,2.112,0.0837,0.7086,6.228,0.135,6.8209,39.7
"http://www.huffingtonpost.com/entry/tom-price-travel-flights_us_59cd5b1fe4b09538b50720e3",0,"Tom Price Says He'll Pay Taxpayers Back For Using Private Jets. But Just For His Seat.",91568,99604,81739,12986,63797,1.071,1.126,0.931,1.082,43696,43562,12346,3644,66495,801,8390,10551,3209,23043,196,57.5,10.7,13.3,353,16,0.2222222,0.4444444,0,0,0,0.1111111,0.1111111,0.1111111,0,0,1,"0","1",121,"1","1","N",1362.31666666667,6.3797,0.3644,6.6495,0.0801,0.839,1.0551,0.3209,2.3043,35.3
"https://www.huffingtonpost.com/entry/mitt-romney-roy-moore_us_5a05be95e4b0e37d2f371e99",1,"Mitt Romney Tells Roy Moore To Step Aside: 'I Believe Leigh Corfman'",92263,99583,101445,13753,59379,1.063,1.094,1.527,1.374,40503,50421,8659,5720,55906,3830,3553,20232,1807,14836,226,63.8,8.3,11.2,460,29,0,0.2307692,0.1538462,0,0,0.1538462,0.4615385,0,0,0,29,"0","1",25,"0","1","Y",1690.75,5.9379,0.572,5.5906,0.383,0.3553,2.0232,0.1807,1.4836,46
"https://www.huffingtonpost.com/entry/orrin-hatch-trolls-utah-newspaper_us_5a427bd0e4b06d1621b59d0e",0,"Orrin Hatch Trolls Utah Newspaper That Wants Him To Retire",76416,99576,98282,11773,52131,1.088,1.157,1.294,1.546,45236,44458,9882,5060,51674,7586,17264,8426,1010,3190,18,52.49,10.6,13.1,543,29,0.15625,0.1875,0.125,0,0,0.1875,0.25,0.09375,0,0,23,"0","1",13,"0","1","N",1638.03333333333,5.2131,0.506,5.1674,0.7586,1.7264,0.8426,0.101,0.319,54.3
"http://www.huffingtonpost.com/entry/donald-trump-boy-scouts-values_us_5976e8c4e4b0e201d57786bb",0,"All The Ways Donald Trump Violated The Boy Scout Law Last Night",92887,99534,87932,12727,45387,1.063,1.061,1.488,1.522,36122,53513,9899,4318,36175,2371,5881,42968,454,22410,63,58.82,10.2,12,250,12,0,0.2777778,0.05555556,0.05555556,0,0.05555556,0.4444444,0.1111111,0,0,150,"1","1",126,"1","1","N",1465.53333333333,4.5387,0.4318,3.6175,0.2371,0.5881,4.2968,0.0454,2.241,25
"https://www.huffingtonpost.com/entry/floyd-mayweather-defends-trumps-grab-comments_us_59bb73c9e4b086432b05dd72",0,"Floyd Mayweather Defended Donald Trump's 'Grab Them' Comments. It Didn't Go Well.",96143,99500,74437,11663,49438,1.053,1.072,1.119,1.276,34338,58880,6282,5832,45715,2291,4209,33524,1590,5718,32,58.79,8.2,11.2,212,17,0,0.1,0.3,0.4,0,0.2,0,0,0,0,57,"1","1",3,"1","0","N",1240.61666666667,4.9438,0.5832,4.5715,0.2291,0.4209,3.3524,0.159,0.5718,21.2
