"URL","impact","Title","Visitors","Views","Engaged_minutes","New_vis.","Returning_vis.","Avg._views_new_vis.","Avg._views_ret._vis.","Avg._minutes_new_vis.","Avg._minutes_ret._vis.","Desktop_views","Mobile_views","Tablet_views","Search_refs","Internal_refs","Other_refs","Direct_refs","Fb_refs","Fb_interactions","readability","grade_level","smog_index","total_words","total_sentences","neg1","neg2","neg3","neg4","neg5","pos1","pos2","pos3","pos4","pos5","Other_Social_ref","Li_ref","Pi_ref","Other_int","Tw_int","Li_int","Pi_int"
"http://www.huffingtonpost.com/entry/trump-obama-vacation-tweets_us_5982dcdae4b06d4888743fce",0,"These Donald Trump Tweets About Barack Obama's Vacations Didn't Age Well",222322,238186,201342,38020,115254,1.064,1.11,1.178,1.408,89720,126660,21806,26369,96165,5585,25150,61650,46626,73.07,6.8,10.5,212,14,0.25,0.5,0,0,0,0,0.25,0,0,0,251,"1","1",151,"1","1","1"
"https://www.huffingtonpost.com/entry/when-your-house-floods_us_59a6f2ffe4b084581a14f734",1,"Here's What Will Happen When Your House Floods",204972,238123,442248,66548,138424,1.063,1.162,2.003,2.146,112670,108353,17100,12388,109269,5459,27971,46958,9475,84.27,4.6,8,1128,91,0.204545454545455,0.25,0.181818181818182,0.0227272727272727,0,0.159090909090909,0.0909090909090909,0.0909090909090909,0,0,380,"1","1",147,"1","1","1"
"https://www.huffingtonpost.com/entry/senate-republicans-graham-cassidy-health-care_us_59c03bebe4b0f22c4a8bf981",1,"Senators Who Had Voted Against Obamacare Repeal Are Now Wavering",213664,238039,299025,32244,152054,1.065,1.15,1.43,1.679,113556,101217,23266,11005,159876,6143,14150,25417,14435,59.53,9.9,12.4,1147,57,0.311111111111111,0.244444444444444,0.0666666666666667,0,0,0.0444444444444444,0.311111111111111,0,0.0222222222222222,0,235,"0","1",26,"1","0","1"
"http://www.huffingtonpost.com/entry/kkk-grand-dragon-charlottesville_us_599457e1e4b009141641c054",1,"KKK Grand Dragon Says He's 'Glad That Girl Died' During Charlottesville Rally",222078,237604,220492,32777,122915,1.051,1.118,1.325,1.463,84822,133803,18979,22420,116938,6749,10532,61100,53643,72.26,7.1,10.6,525,33,0.137254901960784,0.313725490196078,0.235294117647059,0,0,0.0392156862745098,0.137254901960784,0.137254901960784,0,0,62,"1","1",154,"1","1","1"
"https://www.huffingtonpost.com/entry/jeff-sessions-uranium-one-hillary-clinton_us_5a3b9b52e4b025f99e14cd5e",0,"Jeff Sessions Reportedly Revives Probe Of Uranium One Deal",195482,236347,131784,26414,108740,1.122,1.153,0.927,0.97,110640,110530,15177,30526,106559,37114,29433,7086,15459,40.38,13.2,15.2,267,12,0.153846153846154,0.153846153846154,0.0769230769230769,0,0,0.153846153846154,0.461538461538462,0,0,0,56,"1","0",12,"1","1","1"
"http://www.huffingtonpost.com/entry/michael-cohen-trump-lawyer-russia_us_59a71a28e4b010ca2899e933",0,"Michael Cohen Speaks: Trump Exec Admits Russia Dealings Were Gross, But Not Illegal",207450,236247,346625,29885,150042,1.091,1.162,1.701,1.961,105658,103123,27466,26356,157091,9955,14836,6446,1995,72.97,6.9,10.4,1818,120,0.163265306122449,0.306122448979592,0.163265306122449,0.0204081632653061,0,0.102040816326531,0.204081632653061,0.0408163265306122,0,0,25,"1","1",95,"1","1","1"
"http://www.huffingtonpost.com/entry/tk-chaos-takes-uc-berkeley-as-desperate-rally-for-free-speech-devolves_us_59c7bdefe4b01cc57ff2c5ab",1,"Milo Yiannopoulos Flounders At Desperate 'Free Speech' Rally On UC Berkeley Campus",219597,235638,264953,43340,144132,1.084,1.075,1.333,1.413,99566,112700,23372,20038,115141,47813,21421,13957,3150,61.16,9.3,11.6,757,41,0.22,0.26,0.18,0.02,0,0.2,0.1,0.02,0,0,59,"0","1",12,"1","1","1"
"https://www.huffingtonpost.com/entry/trump-obamacare-payments-insurers_us_59e01859e4b03a7be57f71a9",1,"Trump To Cut Off Billions In Key Obamacare Payments To Insurers",193843,235596,294537,29541,129701,1.081,1.233,1.651,1.886,99203,115125,21268,2827,140102,23778,25469,23471,56079,40.69,13.1,14.9,1186,54,0.150943396226415,0.358490566037736,0.0566037735849057,0,0,0.150943396226415,0.283018867924528,0,0,0,35,"1","1",88,"1","1","1"
"http://www.huffingtonpost.com/entry/russian-officials-trump-associates_us_59669790e4b0a8d46d11e247",0,"Report Says U.S. Intelligence Agencies Heard Russian Officials Discussing Trump Team In 2015",212887,235017,159655,26412,152811,1.074,1.139,0.796,0.899,93622,113559,27836,8489,164944,1736,11212,26994,4459,44.75,11.5,14.1,359,20,0.25,0.5,0.25,0,0,0,0,0,0,0,89,"1","1",125,"1","1","1"
"https://www.huffingtonpost.com/entry/kellyanne-conway-donald-trump-empowering-women_us_59e05e93e4b03a7be57f802f",0,"Kellyanne Conway's Tweet About Trump 'Empowering Women' Didn't Go Down Well",225261,234948,227374,27044,139572,1.063,1.069,1.259,1.394,99136,111772,24040,9427,130497,3365,10867,58944,15240,45.09,13.4,14.2,104,4,0,0,0.25,0,0,0,0.25,0.5,0,0,813,"1","1",53,"1","1","1"
