"URL","Title","Publish date","Authors","Section","Tags","Sort (Views)","Visitors","Views","Engaged minutes","New vis.","Returning vis.","Avg. views new vis.","Avg. views ret. vis.","Avg. minutes new vis.","Avg. minutes ret. vis.","Desktop views","Mobile views","Tablet views","Search refs","Internal refs","Other refs","Direct refs","Social refs","Fb refs","Tw refs","Li refs","Pi refs","Social interactions","Fb interactions","Tw interactions","Li interactions","Pi interactions"
"https://www.huffingtonpost.com/entry/ivanka-and-tiffany-trump-christmas-video_us_5a43b963e4b06d1621b64da3","Ivanka And Tiffany Trump Mercilessly Mocked For Mar-A-Lago Christmas Video",2017-12-27 12:32:00,"Carly Ledbetter","Politics","@health_ibs,@health_models,@team_us_huffpost_now,arts-and-entertainment,ivanka-trump,mar-a-lago,merry-christmas,tiffany-trump,type: news",2133988,543880,2133988,1164518,107037,227579,1.076,1.146,1.292,1.54,1651298,431252,51438,97393,133102,33538,1559177,282015,265586,16370,NA,57,16854,16760,59,NA,35
"https://www.huffingtonpost.com/entry/trump-judicial-nominee-cant-answer_us_5a3357d2e4b01d429cc76802","Trump Judicial Nominee Can't Answer Basic Questions About The Law In Disastrous Hearing",2017-12-15 02:47:00,"Ed Mazza","Politics","@amazonecho,@health_erectile,@health_ibs,@health_models,@team_us_huffpost_now,donald-trump,john-kennedy,judicial-confirmations,judicial-nominees,law,matthew-spencer-petersen,type: news,us-news",1894547,612992,1894547,780184,112479,302624,1.107,1.208,1.713,1.955,1441456,390581,62510,42604,248865,69162,1244877,226547,216083,8609,198,57,257747,256049,594,760,344
"https://www.huffingtonpost.com/entry/woman-flips-off-donald-trump-fired_us_59fe0ab4e4b0c9652fffa484","Woman Fired For Flipping Off Donald Trump's Motorcade",2017-11-06 04:21:00,"Jennifer Bendery","Politics","@amazonecho,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,business,donald-trump,juli-briskman,political-protest,type: news,us-news",1781658,1680353,1781658,1237754,427515,413546,1.018,1.078,1.425,1.523,490423,1176352,114883,273998,177955,291635,187813,747802,606634,132497,474,86,288456,281234,5612,1036,574
"http://www.huffingtonpost.com/entry/82nd-airborne-nazi-salute-charlottesville_us_5992ad61e4b08a247276f35e","White Supremacist In Charlottesville Wearing 82nd Airborne Hat Gets Called Out... By 82nd Airborne",2017-08-15 06:16:00,"Dominique Mosbergen","Politics","@bustournewsletter,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,international-news,nazi-germany,nazi-salute,normandy,type: news,us-news",1473925,1385927,1473925,1024362,320351,368120,1.075,1.067,1.408,1.543,270797,1113528,89600,187522,143670,115413,188505,780611,728208,38812,76,733,321373,319027,1519,363,464
"https://www.huffingtonpost.com/entry/gop-knows-end-is-near_us_5a3bb7f7e4b06d1621b2394b","The GOP Knows The End Is Near",2017-12-21 15:25:00,"Michelangelo Signorile","Politics","@health_erectile,@health_ibs,@health_models,@team_us_enterprise_politics,donald-trump,republican-party,republican-politics,type: news,us-presidential-elections",1346107,210154,1346107,211141,31641,94828,1.069,1.171,1.411,1.734,1180368,141507,24232,9098,70720,28424,1123451,87817,82848,4479,1,43,36734,36448,227,20,39
"https://www.huffingtonpost.com/entry/trump-water-national-security-speech_us_5a385b4be4b0c65287abc322","Trump Drinks Water Like Small Child During Big Speech",2017-12-18 20:21:00,"David Moye","Politics","@health_adhd,@health_erectile,@health_ibs,@health_models,@team_us_huffpost_now,donald-trump,drugs,republican-politics,type: news,us-news",1301669,222334,1301669,187368,37192,104660,1.112,1.181,1.094,1.378,1128745,151471,21453,28181,84505,25119,1066897,73879,70456,2663,NA,19,24222,24005,123,NA,94
"https://www.huffingtonpost.com/entry/al-franken-two-more-women-groping_us_5a15a455e4b09650540ec295","Two More Women Accuse Sen. Al Franken Of Inappropriate Touching",2017-11-22 19:10:00,"Jenavieve Hatch,Zachary Roth","Politics","@breaking,@breaking_opt_out,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_enterprise_politics,al-franken,minneapolis,minnesota,must-reads,sex-crimes,sexual-harassment,type: news,us-news",1217218,1074571,1217218,933120,441735,322236,1.022,1.211,1.064,1.331,332540,722395,162283,127867,179052,468161,124860,224254,117235,105568,8,3,100834,93068,7554,66,146
"https://www.huffingtonpost.com/entry/american-flag-disrespect-tru_us_59c7140be4b06ddf45f867a0","Here Are Some Ways People Disrespect The Flag Daily Based On Flag Code",2017-09-24 00:56:00,"Doha Madani","Politics","@bustournewsletter,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_trends,flag-day,type: news,united-states-flag-code",1177658,1050403,1177658,535684,159675,178960,1.082,1.185,1.491,1.659,160307,929962,87389,71567,62779,15374,82794,914473,902552,11029,117,75,661992,659870,681,1285,156
"http://www.huffingtonpost.com/entry/senate-gasp-john-mccain-votes-no_us_597ad07fe4b0da64e8782119","Watch The Senate Gasp Aloud As John McCain Votes No On Health Care Bill",2017-07-28 02:21:00,"Rebecca Shapiro","Politics","@ads_sexy,@health_ibs,@health_models,@team_us_news_trends,affordable-care-act,health-care-reform,john-mccain,obamacare-repeal,republican-politics,type: news,us-senate",1094376,967207,1094376,487661,116300,276808,1.122,1.245,1.271,1.231,191359,817271,85746,42983,206040,19447,65204,719617,707725,11129,6,11,192136,191804,213,26,93
"http://www.huffingtonpost.com/entry/david-duke-trump-charlottesville_us_5991d6bae4b08a2472764798","Ex-KKK Leader David Duke Has Meltdown After Trump Condemns White Supremacists In Charlottesville",2017-08-14 15:36:00,"Hayley Miller","Politics","@bustournewsletter,@genassign,@health_ibs,@health_models,@team_us_news_ga,charlottesville-virginia,david-duke,donald-trump,hate-crimes,hate-speech,psychology,republican-politics,type: news,us-news",1075154,973991,1075154,659891,131845,341392,1.069,1.182,1.398,1.404,226989,757305,90860,121900,269670,15143,74167,544206,520077,20787,143,27,106075,104845,554,531,145
