"URL","Title","Publish date","Authors","Section","Tags","Sort (Views)","Visitors","Views","Engaged minutes","New vis.","Returning vis.","Avg. views new vis.","Avg. views ret. vis.","Avg. minutes new vis.","Avg. minutes ret. vis.","Desktop views","Mobile views","Tablet views","Search refs","Internal refs","Other refs","Direct refs","Social refs","Fb refs","Tw refs","Li refs","Pi refs","Social interactions","Fb interactions","Tw interactions","Li interactions","Pi interactions"
"http://www.huffingtonpost.com/entry/trump-obama-vacation-tweets_us_5982dcdae4b06d4888743fce","These Donald Trump Tweets About Barack Obama's Vacations Didn't Age Well",2017-08-03 05:57:00,"Alana Horowitz Satlin","Politics","@health_ibs,@health_models,@team_us_news_ga,barack-obama,democratic-politics,donald-trump,republican-politics,type: news,us-news,us-presidential-elections",238186,222322,238186,201342,38020,115254,1.064,1.11,1.178,1.408,89720,126660,21806,26369,96165,5585,25150,67552,61650,5651,20,20,46954,46626,177,102,49
"https://www.huffingtonpost.com/entry/when-your-house-floods_us_59a6f2ffe4b084581a14f734","Here's What Will Happen When Your House Floods",2017-08-31 09:47:00,"Julia Craven","Politics","@bustournewsletter,@health_ibs,@health_models,@team_us_news_national_beats,fema,floods,houston,hurricane,hurricane-harvey,hurricane-katrina,must-reads,new-orleans,storms,type: news,us-news",238123,204972,238123,442248,66548,138424,1.063,1.162,2.003,2.146,112670,108353,17100,12388,109269,5459,27971,60761,46958,13423,12,14,9832,9475,210,126,21
"https://www.huffingtonpost.com/entry/senate-republicans-graham-cassidy-health-care_us_59c03bebe4b0f22c4a8bf981","Senators Who Had Voted Against Obamacare Repeal Are Now Wavering",2017-09-18 18:52:00,"Matt Fuller","Politics","@health_depression,@health_ibs,@health_models,@team_us_news_ga,bill-cassidy,health-care-reform,john-mccain,lindsey-graham,lisa-murkowski,obamacare,obamacare-repeal,party-leaders-of-the-united-states-senate,republican-politics,senate,type: news",238039,213664,238039,299025,32244,152054,1.065,1.15,1.43,1.679,113556,101217,23266,11005,159876,6143,14150,29284,25417,3632,NA,5,15004,14435,543,NA,26
"http://www.huffingtonpost.com/entry/kkk-grand-dragon-charlottesville_us_599457e1e4b009141641c054","KKK Grand Dragon Says He's 'Glad That Girl Died' During Charlottesville Rally",2017-08-16 12:11:00,"Hayley Miller","Politics","@ads_scary,@genassign,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,barker,charlottesville-virginia,chris-barker,donald-trump,hate-crimes,hate-speech,james-thomas-fields,justin-moore,type: news,us-news",237604,222078,237604,220492,32777,122915,1.051,1.118,1.325,1.463,84822,133803,18979,22420,116938,6749,10532,63704,61100,2542,4,46,54139,53643,342,70,84
"https://www.huffingtonpost.com/entry/jeff-sessions-uranium-one-hillary-clinton_us_5a3b9b52e4b025f99e14cd5e","Jeff Sessions Reportedly Revives Probe Of Uranium One Deal",2017-12-21 08:02:00,"Alana Horowitz Satlin","Politics","@health_ibs,@health_models,@team_us_huffpost_now,clinton-foundation,democratic-politics,donald-trump,hillary-clinton,international-news,jeff-sessions,nbc-news,type: news,uranium-one-inc,us-department-of-justice,us-department-of-state,us-news,us-presidential-elections",236347,195482,236347,131784,26414,108740,1.122,1.153,0.927,0.97,110640,110530,15177,30526,106559,37114,29433,8019,7086,877,3,NA,15859,15459,388,6,6
"http://www.huffingtonpost.com/entry/michael-cohen-trump-lawyer-russia_us_59a71a28e4b010ca2899e933","Michael Cohen Speaks: Trump Exec Admits Russia Dealings Were Gross, But Not Illegal",2017-08-30 18:07:00,"Vicky Ward","Politics","@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,donald-trump,michael-cohen,michael-flynn,must-reads,reince-priebus,russia,trump-organization,trump-tower,type: news,ukraine,vladimir-putin",236247,207450,236247,346625,29885,150042,1.091,1.162,1.701,1.961,105658,103123,27466,26356,157091,9955,14836,9906,6446,3435,14,2,2349,1995,259,86,9
"http://www.huffingtonpost.com/entry/tk-chaos-takes-uc-berkeley-as-desperate-rally-for-free-speech-devolves_us_59c7bdefe4b01cc57ff2c5ab","Milo Yiannopoulos Flounders At Desperate 'Free Speech' Rally On UC Berkeley Campus",2017-09-24 16:09:00,"Andy Campbell,Christopher Mathias","Politics","@bustournewsletter,@genassign,@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@noad_mid_article,@team_us_news_ga,berkeley-california,hate-speech,milo-yiannopoulos,politics,type: news,university-of-california-berkeley,us-news",235638,219597,235638,264953,43340,144132,1.084,1.075,1.333,1.413,99566,112700,23372,20038,115141,47813,21421,15076,13957,1060,NA,4,3218,3150,56,7,5
"https://www.huffingtonpost.com/entry/trump-obamacare-payments-insurers_us_59e01859e4b03a7be57f71a9","Trump To Cut Off Billions In Key Obamacare Payments To Insurers",2017-10-12 22:48:00,"Jeffrey Young","Politics","@developing,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,affordable-care-act,donald-trump,health-care-reform,health-insurance,obamacare,obamacare-repeal,type: news,us-news",235596,193843,235596,294537,29541,129701,1.081,1.233,1.651,1.886,99203,115125,21268,2827,140102,23778,25469,26434,23471,2928,11,5,56793,56079,626,40,48
"http://www.huffingtonpost.com/entry/russian-officials-trump-associates_us_59669790e4b0a8d46d11e247","Report Says U.S. Intelligence Agencies Heard Russian Officials Discussing Trump Team In 2015",2017-07-12 18:28:00,"Mollie Reilly","Politics","@genassign,@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@team_us_news_ga,donald-trump,republican-politics,the-wall-street-journal,type: news,us-intelligence-community,us-news",235017,212887,235017,159655,26412,152811,1.074,1.139,0.796,0.899,93622,113559,27836,8489,164944,1736,11212,30295,26994,3212,41,6,4742,4459,158,102,23
"https://www.huffingtonpost.com/entry/kellyanne-conway-donald-trump-empowering-women_us_59e05e93e4b03a7be57f802f","Kellyanne Conway's Tweet About Trump 'Empowering Women' Didn't Go Down Well",2017-10-13 03:12:00,"Lee Moran","Politics","@amazonecho,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,donald-trump,elections,kellyanne-conway,type: news,us-news",234948,225261,234948,227374,27044,139572,1.063,1.069,1.259,1.394,99136,111772,24040,9427,130497,3365,10867,61135,58944,1378,6,7,15347,15240,54,29,24
