URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Avg. views new vis.,Avg. views ret. vis.,Avg. minutes new vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Impact
https://www.huffingtonpost.com/entry/rex-tillerson-donald-trump-moron_us_59dcb3b3e4b00377980b9732,Trump On Rex Tillerson Reportedly Calling Him 'A Moron': I'd Beat Him In An IQ Test,10/10/17 8:35,Marina Fang,Politics,"@genassign,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,donald-trump,moron,rex-tillerson,type: news,us-news",158462,143034,158462,134249,18872,110393,1.092,1.121,0.997,1.051,91369,55835,11258,4455,118012,1234,6308,15492,13729,1758,2,NA,13653,13521,88,27,17,0
https://www.huffingtonpost.com/entry/ryan-zinke-helicopters_us_5a2a2337e4b069ec48ac3272,"Ryan Zinke Spent $6,250 On A Helicopter So He Could Ride Horses With Mike Pence",12/8/17 1:18,Nick Visser,Politics,"@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_huffpost_now,mike-pence,ryan-zinke,travel-and-tourism,type: news,us-news",158260,117878,158260,83788,15681,82367,1.077,1.102,0.793,0.858,87759,58357,12144,6103,69151,5894,35242,19352,17978,1279,3,6,29408,28668,452,43,245,1
https://www.huffingtonpost.com/entry/jeremy-bash-donald-trump_us_599c2d52e4b06a788a2bb98b,Former CIA Chief Of Staff Questions Donald Trump's Vague Afghanistan Strategy,8/22/17 9:39,Paige Lavender,Politics,"@bustournewsletter,@health_depression,@health_ibs,@health_models,@team_us_news_ga,afghanistan,cia-director,donald-trump,international-news,type: news",158115,144841,158115,141722,17454,121670,1.119,1.08,0.896,1.028,100038,46231,11846,4823,131142,1513,4125,2922,2681,231,NA,4,2776,2670,81,NA,25,0
http://www.huffingtonpost.com/entry/cop-email-legislator-missing-person-alert_us_595e873ce4b0615b9e90290a,Cop Shuts Down Former Legislator Who Was Annoyed By Missing Person Alert,7/6/17 17:22,David Lohr,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_trends,colorado-springs-colorado,douglas-bruce,type: news,us-news",157950,150858,157950,120994,12585,62382,1.067,1.099,1.398,1.647,41040,96031,20879,621,44975,700,5725,97692,97006,472,NA,1,25737,25693,41,NA,3,0
http://www.huffingtonpost.com/entry/california-daca-lawsuit_us_59b6c50de4b0349d072b91fc,California Sues Trump Administration Over DACA Elimination,9/11/17 15:28,Mollie Reilly,Politics,"@bustournewsletter,@genassign,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,california-attorney-general,daca,donald-trump,legal-issues,type: news,us-news,us-politics,xavier-becerra",157370,147985,157370,116154,23184,111915,1.045,1.054,1.029,0.805,84649,60053,12668,14054,117039,5888,7878,2512,2168,336,NA,2,10097,9962,106,6,23,1
http://www.huffingtonpost.com/entry/trump-obama-supporters-poll_us_59afea06e4b0354e440e24a9,There's A Potential Crack In Trump's Base: Supporters Who Once Voted For Obama,9/6/17 10:43,Ariel Edwards-Levy,Politics,"@bustournewsletter,@health_depression,@health_erectile,@health_ibs,@health_models,@pollster,@team_us_news_national_beats,barack-obama,democratic-politics,demography,donald-trump,political-opinion-polls,political-science,pollster analysis,republican-politi",157264,144840,157264,154974,17747,107106,1.084,1.089,1.202,1.266,89776,56609,10879,16937,104333,2701,7432,11971,8712,3035,4,2,3295,3162,102,13,18,1
https://www.huffingtonpost.com/entry/billy-baldwin-donald-trump-hitting-on-wife_us_5a174bcee4b0649480738235,Actor Billy Baldwin Accuses Donald Trump Of Hitting On His Wife,11/23/17 20:17,Mary Papenfuss,Politics,"@ads_sexy,@amazonecho,@health_erectile,@health_ibs,@health_models,@team_us_huffpost_now,arts-and-entertainment,donald-trump,donald-trump-jr,sex-crimes,type: news,us-news,william-baldwin",157241,140065,157241,167415,33896,89032,1.074,1.076,1.252,1.402,54718,81768,20755,17649,66052,17626,18172,26306,21379,4615,23,50,4483,4296,111,47,29,0
https://www.huffingtonpost.com/entry/trump-access-hollywood-tape-washington-monument_us_59d7aaaee4b072637c43c050,Trump's 'P***y' Tape Is Playing All Day In The Shadow Of A Giant Phallus,10/6/17 14:55,Amanda Terkel,Politics,"@ads_sexy,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_national_beats,arts-and-entertainment,donald-trump,sex-crimes,type: news",157125,143786,157125,142563,24001,87408,1.079,1.106,1.114,1.292,47343,92462,17320,8527,83142,6756,15166,32931,29728,3045,NA,11,11927,11706,153,2,66,1
http://www.huffingtonpost.com/entry/ezra-cohen-watnick-fired_us_598243cae4b06d4888741ea0,McMaster Fires Controversial Staffer From National Security Council Post,8/2/17 19:14,Mollie Reilly,Politics,"@genassign,@health_depression,@health_gad,@health_ibs,@health_models,@team_us_news_ga,donald-trump,ezra-cohen-watnick,h-r-mcmaster,house-intelligence-committee,michael-t-flynn,national-security-council,type: news,united-states-house-committee-on-standards",156974,146678,156974,112090,20197,102356,1.029,1.062,0.893,0.905,55868,79663,21443,3845,103217,12844,5866,20154,17081,2771,34,NA,2460,2381,52,26,1,1
https://www.huffingtonpost.com/entry/paul-manafort-bail-phone-company-florida_us_5a047884e4b03deac08bc166,It Sure Seems Like Paul Manafort Is Misleading A Federal Judge So He Can Winter In Florida,11/9/17 17:30,Ryan J. Reilly,Politics,"@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@team_us_news_national_beats,cellphones,florida,paul-j-manafort,robert-mueller,type: news,us-news",156902,145442,156902,125313,16188,84037,1.071,1.076,1.191,1.264,48056,91390,17456,23262,70997,12758,11435,21168,10354,10462,NA,9,3151,2887,243,NA,21,0
http://www.huffingtonpost.com/entry/steve-bannon-ivanka-trump-jared-kushner-javanka_us_599a8b8de4b0a2608a6d0dfc,Steve Bannon Reportedly Calls Jared Kushner And Ivanka Trump 'Javanka' Behind Their Backs,8/21/17 10:54,Rebecca Shapiro,Politics,"@bustournewsletter,@health_depression,@health_ibs,@health_models,@team_us_news_trends,donald-trump,ivanka-trump,jared-kushner,new-york-times,steve-bannon,type: news",156865,143565,156865,136091,36498,75587,1.115,1.089,1.157,1.223,67758,70779,18328,42955,48861,31044,20417,3033,2290,680,NA,2,2198,2139,50,NA,9,0
