URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Avg. views new vis.,Avg. views ret. vis.,Avg. minutes new vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,impact
https://www.huffingtonpost.com/entry/brett-talley-trump-withdraw-judicial-nominee_us_5a317b65e4b07ff75affd3c4,Controversial Judicial Nominee Brett Talley Withdraws Nomination,12/13/17 14:56,Jennifer Bendery,Politics,"@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_politics,american-bar-association,chuck-grassley,donald-trump,legal-issues,republican-politics,type: news,united-states-district-cour",100025,73284,100025,39904,7743,27543,1.088,1.132,0.987,1.161,42362,49833,7830,3822,18341,2189,23592,44741,43481,1260,NA,NA,14877,14817,44,14,2,0
http://www.huffingtonpost.com/entry/antonin-scalia-flag-burning_us_59c9159be4b01cc57ff3eabf,Trump's Favorite Supreme Court Justice Said 'Tyrants' Try To Suppress Flag Protests,9/25/17 13:55,Amanda Terkel,Politics,"@bustournewsletter,@health_depression,@health_ibs,@health_models,@team_us_news_national_beats,donald-trump,free-speech,hate-speech,supreme-court,supreme-court-of-the-united-states,type: news,us-news",100014,91388,100014,46720,9242,34173,1.091,1.133,0.995,1.097,25373,64778,9863,4511,25135,5771,6794,53583,52899,677,NA,7,55650,55480,87,27,56,1
https://www.huffingtonpost.com/entry/republicans-tax-reform-election-results_us_5a03997fe4b03deac08b14fa,"Republicans Full Speed Ahead On Tax Reform, Election Consequences Be Damned",11/8/17 20:49,"Matt Fuller,Arthur Delaney",Politics,"@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,california,chris-collins,david-valadao,election-results,jared-huffman,john-faso,mark-meadows,new-york,peter-king,political-science,republican-party,republican-politics,taxes,t",99919,87536,99919,119328,12550,67485,1.059,1.161,1.279,1.526,47846,41124,10949,4857,70978,1692,3519,5163,3192,1952,NA,2,2983,2714,261,1,7,1
http://www.huffingtonpost.com/entry/trump-silence-minnesota-mosque-attack_us_59887a97e4b041356ec13af5,Trump's Silence On Minnesota Mosque Attack Speaks Volumes,8/7/17 19:20,Carol Kuruvilla,Politics,"@ads_scary,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_national_beats,arson,council-on-american-islamic-relations,donald-trump,george-w-bush,hate-crimes,hate-speech,islam,i",99898,92820,99898,105398,17376,62491,1.051,1.082,1.269,1.357,34854,52963,12081,3614,52703,8698,12734,13800,11385,2366,NA,11,22377,21919,390,11,57,1
http://www.huffingtonpost.com/entry/rep-joe-kennedy-trevor-noah-daily-show_us_5982b3cbe4b00f0084adfd5d,Joe Kennedy Slams Donald Trump For Pitting Americans Against Each Other,8/3/17 3:18,Carla Herreria,Politics,"@health_depression,@health_ibs,@health_models,@team_us_news_trends,donald-trump,joseph-p-kennedy-iii,republican-politics,trevor-noah,type: news,us-house-of-representatives,us-news",99866,86627,99866,55821,18194,34997,1.13,1.173,0.971,1.058,30062,55488,14316,1549,21120,837,7086,63653,62280,1350,NA,10,68484,68209,173,3,99,0
http://www.huffingtonpost.com/entry/tom-price-travel-flights_us_59cd5b1fe4b09538b50720e3,Tom Price Says He'll Pay Taxpayers Back For Using Private Jets. But Just For His Seat.,9/28/17 17:11,Igor Bobic,Politics,"@bustournewsletter,@health_ibs,@health_models,@team_us_news_national_beats,accounting,economics,personal-taxes,tom-price,type: news,us-news",99604,91568,99604,81739,12986,63797,1.071,1.126,0.931,1.082,43696,43562,12346,3644,66495,801,8390,13761,10551,3209,NA,1,23360,23043,196,4,117,0
https://www.huffingtonpost.com/entry/mitt-romney-roy-moore_us_5a05be95e4b0e37d2f371e99,Mitt Romney Tells Roy Moore To Step Aside: 'I Believe Leigh Corfman',11/10/17 10:47,Amanda Terkel,Politics,"@ads_sexy,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,mitt-romney,republican-politics,roy-moore,type: news,us-congressional-elections,us-news",99583,92263,99583,101445,13753,59379,1.063,1.094,1.527,1.374,40503,50421,8659,5720,55906,3830,3553,22068,20232,1807,NA,2,15087,14836,226,NA,25,1
https://www.huffingtonpost.com/entry/orrin-hatch-trolls-utah-newspaper_us_5a427bd0e4b06d1621b59d0e,Orrin Hatch Trolls Utah Newspaper That Wants Him To Retire,12/26/17 14:19,Daniel Marans,Politics,"@health_depression,@health_ibs,@health_models,@team_us_politics,orrin-hatch,type: news,us-news,utah",99576,76416,99576,98282,11773,52131,1.088,1.157,1.294,1.546,45236,44458,9882,5060,51674,7586,17264,9459,8426,1010,NA,23,3221,3190,18,NA,13,0
http://www.huffingtonpost.com/entry/donald-trump-boy-scouts-values_us_5976e8c4e4b0e201d57786bb,All The Ways Donald Trump Violated The Boy Scout Law Last Night,7/25/17 4:25,Lee Moran,Politics,"@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,boy-scouts-of-america,donald-trump,type: news",99534,92887,99534,87932,12727,45387,1.063,1.061,1.488,1.522,36122,53513,9899,4318,36175,2371,5881,43572,42968,454,31,113,22599,22410,63,52,74,0
https://www.huffingtonpost.com/entry/floyd-mayweather-defends-trumps-grab-comments_us_59bb73c9e4b086432b05dd72,Floyd Mayweather Defended Donald Trump's 'Grab Them' Comments. It Didn't Go Well.,9/15/17 4:27,Lee Moran,Politics,"@amazonecho,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,domestic-violence,donald-trump,donald-trump-access-hollywood,floyd-mayweather-jr,type: news",99500,96143,99500,74437,11663,49438,1.053,1.072,1.119,1.276,34338,58880,6282,5832,45715,2291,4209,35171,33524,1590,1,3,5753,5718,32,3,NA,0
